idx,label,sentence1,sentence2,explanation
208,contradiction,A barefooted adolescent boy in a yellow shirt reaching the top of a small skateboarding ramp.,the boy is flying a helicopter,The boy is either skateboarding or flying a helicopter
209,neutral,A barefooted adolescent boy in a yellow shirt reaching the top of a small skateboarding ramp.,the boy is five,A boy's clothing won't tell us he is five years old.
210,entailment,A barefooted adolescent boy in a yellow shirt reaching the top of a small skateboarding ramp.,a boy is barefooted,The boy is barefooted because he is a barefooted adolescent boy.
211,contradiction,A man waterskies with a life jacket.,Hitler rides a jetski in this Kawasaki advertisement.,A man who waterskies cannot be riding a jetski.
212,neutral,A man waterskies with a life jacket.,A lifeguard races across the water.,Just because a man has a life jacket doesn't mean he is a lifeguard
213,neutral,A man waterskies with a life jacket.,The man is enjoying the ocean.,man watersking doesn't mean it's in the ocean
214,contradiction,A group of children enjoy their time on the beach.,A group of adults are swimming at the beach.,Children are not adults.
215,neutral,A group of children enjoy their time on the beach.,Children are swimming at the beach.,Playing on the beach doesn't necessarily include swimming.
216,entailment,A group of children enjoy their time on the beach.,Children are at the beach.,a group of children is still children
217,neutral,A group of people sit on benches at a park outside a building.,The people sit together.,"Public benches can be shared my strangers, not just people who are together."
218,neutral,A group of people sit on benches at a park outside a building.,The people wait for the bus to come.,Just because people sit on a bench does not mean they wait for the bus.
219,entailment,"A small baby, possibly a newborn is being bathed by a person in blue scrubs wearing protective gloves.",Someone is helping bathe the small baby.,A small baby is being bathed by a person so someone must be helping bathe the small baby.
220,neutral,"A small baby, possibly a newborn is being bathed by a person in blue scrubs wearing protective gloves.",The person bathing the small baby is the mother.,"If the person was the baby's mother, she wouldn't be wearing gloves."
221,contradiction,"A small baby, possibly a newborn is being bathed by a person in blue scrubs wearing protective gloves.",The small baby is in it's crib sound asleep.,The baby can't be asleep while being bathed.
222,entailment,An asian woman sitting outside an outdoor market stall.,A woman sits outdoors.,An asian woman is a type of woman.
223,neutral,An asian woman sitting outside an outdoor market stall.,A woman is selling stuff in a flea market.,Just because a woman is sitting outside a market stall does not mean she is selling stuff. An outdoor market  stall does not necessarily imply a flea market.
224,contradiction,An asian woman sitting outside an outdoor market stall.,A woman sitting in an indoor market.,A woman cannot be sitting outside an outdoor market and indoor market simultaneously.
225,contradiction,An older gentleman enjoys a scenic stroll through the countryside.,A pirate boards the spaceship.,"the gentleman strolls a country side, while the pirate boards the spaceship"
226,neutral,An older gentleman enjoys a scenic stroll through the countryside.,An old man searches for a good place to die.,strolls through doesn't mean searches for a good place to die.
227,entailment,An older gentleman enjoys a scenic stroll through the countryside.,A man walks the countryside.,A stroll is another word for when one walks.
228,entailment,A middle-aged man is sitting indian style outside holding a folded paper in his hands.,A middle aged man is outdoors.,The middle aged man is outdoors and therefore also outside.
229,neutral,A middle-aged man is sitting indian style outside holding a folded paper in his hands.,A middle aged man is showing off his origami creation.,Holding does not imply showing off. Folded paper is not necessarily his origami.
230,contradiction,A middle-aged man is sitting indian style outside holding a folded paper in his hands.,A middle aged man is sitting on a stool in a bar.,cant sit  indian style in stool
231,contradiction,Number 13 kicks a soccer ball towards the goal during children's soccer game.,A player passing the ball in a soccer game.,"Passing the ball means to another player before to goal, whereas towards the goal doesn't involve another player."
